unit,state_fips,kind,source,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,controls,n_controls,controls_strict,n_controls_strict,event_id,federal_induced
36,36,state,state,2014-01,7.25,8.0,9.7,0.10344827586206895,0.33793103448275863,3,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,61,0
37,37,state,state,2007-01,5.15,6.15,7.25,0.1941747572815533,0.40776699029126195,3,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,62,0
39,39,state,state,2007-01,5.15,6.85,7.3,0.33009708737864063,0.4174757281553396,1,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,63,0
39,39,state,state,2022-01,8.8,9.3,10.7,0.05681818181818188,0.21590909090909083,2,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6075 19103 19113 19179 21067 21111 24033 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,49,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6075 19103 19113 19179 21067 21111 24033 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,49,64,0
41,41,state,state,1997-01,4.75,5.5,6.5,0.1578947368421053,0.368421052631579,3,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,65,0
41,41,state,state,2003-01,6.5,6.9,7.5,0.06153846153846154,0.15384615384615374,1,1 4 8 13 16 18 19 20 21 22 24 28 29 30 31 33 35 37 38 39 40 42 45 46 47 48 49 51 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,40,1 4 8 13 16 18 19 20 21 22 24 28 29 30 31 33 35 37 38 39 40 42 45 46 47 48 49 51 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,40,66,0
41,41,state,state,2009-01,7.95,8.4,8.8,0.05660377358490565,0.10691823899371067,1,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56 6075 23005,22,9 23 50 6075 23005,5,67,0
41,41,state,state,2016-07,9.25,9.75,11.25,0.054054054054053946,0.21621621621621623,2,1 12 13 16 18 19 20 21 22 28 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,27,1 12 13 16 18 19 20 21 22 28 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,27,68,0
42,42,state,state,2007-01,5.15,6.25,7.25,0.21359223300970864,0.40776699029126195,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,69,0
44,44,state,state,1996-09,4.45,4.75,5.65,0.0674157303370786,0.2696629213483146,3,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,70,0
44,44,state,state,2004-01,6.15,6.75,7.4,0.09756097560975596,0.2032520325203251,2,1 9 13 16 18 20 22 28 31 35 38 40 45 46 47 48 49 51 53 56 35013 53033 53053,23,9 53 53033 53053,4,71,0
44,44,state,state,2015-01,8.0,9.0,10.1,0.125,0.26249999999999996,3,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,72,0
46,46,state,state,2015-01,7.25,8.5,8.85,0.17241379310344818,0.2206896551724138,1,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,73,0
